Count,Triplet,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10
895,ent,moment,present,different,entered,attention,government,strength,length,agreement,gentleman
845,int,against,point,different,interest,information,important,minutes,instead,ancient,silent
840,tio,question,information,position,attention,action,donations,condition,direction,conversation,nation
734,ato,information,although,attention,action,donations,conversation,afternoon,authority,author,nation
718,iat,information,important,immediately,private,situation,instant,associated,distant,immediate,literature
702,eet,present,different,electronic,interest,everything,effect,except,government,agreement,sweet
697,ert,heart,certain,earth,different,understand,interest,everything,certainly,government,secret
677,aio,information,attention,various,action,donations,occasion,conversation,nation,situation,passion
667,rit,right,spirit,written,copyright,write,writing,bright,opportunity,private,authority
629,ont,country,moment,point,account,continued,front,government,important,donations,months
583,ral,several,general,really,natural,certainly,probably,generally,considerable,original,personal
582,ait,against,faith,ancient,waiting,authority,straight,associated,additional,waited,capital
581,eal,several,general,really,beautiful,early,nearly,certainly,especially,immediately,easily
574,eit,either,neither,immediately,eight,existence,delight,necessity,permitted,weight,evidently
571,ial,especially,immediately,considerable,individual,political,original,physical,social,official,special
567,eio,question,attention,period,expression,direction,permission,conversation,religion,possession,religious
555,rio,information,various,period,expression,direction,permission,conversation,religion,religious,serious
541,est,present,least,question,understand,interest,respect,result,greatest,conversation,understood
541,iet,different,interest,immediately,quiet,ancient,society,silent,direction,directly,sufficient
541,ito,without,information,position,history,condition,direction,situation,conditions,additional,distribution
534,rea,great,already,reason,really,ready,reached,greater,remained,reach,remain
533,eto,question,electronic,attention,direction,conversation,understood,questions,mentioned,method,education
531,iio,information,position,opinion,condition,direction,permission,religion,situation,religious,conditions
529,iit,spirit,visit,immediately,difficult,military,sufficient,distribute,distribution,spirits,immediate
525,ist,first,against,interest,history,distance,visit,instead,sister,circumstances,existence
523,aat,against,character,pleasant,associated,advantage,characters,apparently,imagination,breakfast,inhabitants
523,tra,strange,natural,afterwards,straight,trademark,train,trade,stream,stranger,material
519,cnt,country,cannot,account,continued,condition,ancient,conversation,century,conduct,sufficient
516,prt,present,spirit,party,pretty,copyright,important,particular,parts,property,perfect
508,tal,table,natural,certainly,political,talking,particularly,talked,additional,capital,established
506,ect,subject,electronic,effect,except,object,secret,respect,expected,perfect,direction
498,cio,action,condition,occasion,direction,conversation,curious,conditions,education,companion,affection
495,oet,something,moment,together,sometimes,government,object,property,society,somewhat,conversation
490,ina,information,instead,individual,original,instance,instant,ordinary,finally,additional,national
485,lat,least,later,latter,pleasant,literature,population,relations,explanation,relation,delicate
484,ort,forth,short,information,north,copyright,government,important,property,court,worth
471,cet,certain,except,certainly,secret,ancient,society,conversation,century,complete,sufficient
468,rnt,present,different,front,government,strength,important,agreement,opportunity,servant,prevent
464,trt,truth,interest,strength,started,street,authority,straight,trust,start,distribute
460,rto,information,direction,conversation,understood,distribution,portion,relations,consideration,relation,description
459,cal,called,certainly,especially,scarcely,considerable,political,physical,social,official,special
457,cto,electronic,action,condition,direction,conversation,doctor,conditions,education,affection,collection
456,sta,state,understand,strange,stand,distance,standing,states,instead,started,circumstances
453,mnt,moment,government,important,agreement,minutes,months,month,meant,minute,mentioned
450,tit,opportunity,authority,straight,distribute,thirty,distribution,distributed,satisfaction,title,distributing
449,rel,herself,replied,really,yourself,merely,result,entirely,scarcely,religion,ourselves
448,det,death,different,understand,direction,understood,determined,directly,judgment,delight,evidently
447,tet,together,interest,attention,strength,twenty,street,greatest,attempt,statement,extent
445,ora,information,forward,important,conversation,considerable,original,moral,courage,ordinary,importance
443,nal,general,nearly,natural,generally,considerable,individual,original,personal,finally,additional
442,oit,point,position,copyright,condition,society,opportunity,political,authority,associated,opposite
433,sio,question,position,occasion,expression,permission,conversation,possession,situation,passion,questions
431,cit,copyright,condition,ancient,society,circumstances,sufficient,associated,conditions,capital,necessity
429,ria,particular,private,marriage,original,ordinary,particularly,carriage,material,principal,arrival
427,aet,attention,agreement,ancient,greatest,attempt,statement,accepted,altogether,accept,apparently
425,ast,against,almost,least,master,greatest,pleasant,associated,taste,coast,august
420,ity,history,immediately,society,opportunity,authority,fifty,military,directly,mighty,liberty
417,ara,already,character,natural,particular,afraid,appearance,afterwards,marriage,paragraph,particularly
417,nto,information,attention,donations,condition,conversation,understood,nation,mentioned,conditions,nations
417,sto,stood,question,strong,story,position,history,stopped,stone,conversation,understood
416,aly,always,already,family,really,early,nearly,certainly,probably,especially,hardly
415,nio,information,attention,opinion,donations,condition,conversation,nation,mentioned,anxious,conditions
412,oto,information,position,donations,condition,conversation,doctor,conditions,bottom,portion,collection
410,ril,certainly,particular,original,terrible,particularly,material,principal,principle,principles,arrival
409,oio,information,position,opinion,donations,condition,occasion,conversation,possession,conditions,portion
409,reo,therefore,reason,expression,direction,religion,religious,removed,report,freedom,impression
407,pra,perhaps,probably,important,particular,appearance,private,personal,prepared,paragraph,spread
401,aia,particular,marriage,associated,particularly,additional,animal,animals,capital,carriage,national
401,nta,understand,natural,gentleman,instead,instance,instant,mountains,advantage,mountain,national
400,unt,country,until,united,understand,account,opportunity,understood,sufficient,mountains,mountain
396,ena,general,gentleman,generally,personal,beneath,engaged,extraordinary,countenance,explanation,entrance
395,ely,really,early,suddenly,nearly,certainly,especially,immediately,merely,easily,generally
394,ero,person,therefore,electronic,persons,period,expression,permission,conversation,afternoon,personal
392,eia,especially,immediately,special,peculiar,material,immediate,extraordinary,delicate,commercial,electronically
392,nst,against,understand,interest,instead,conversation,understood,instance,instant,interesting,honest
392,rec,received,french,reached,receive,presence,reach,respect,perfect,experience,direction
